country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,,,,,,,,,,,,785.0,866.0,763.0,777.0,827.0,891.0,924.0,1010.0,864.0,1150.0,989.0,967.0,1000.0,1020.0,917.0,964.0,922.0,928.0,896.0,813.0,573.0,418.0,412.0,441.0,417.0,448.0,385.0,427.0,576.0,580.0,597.0,660.0,648.0,715.0,720.0,707.0,680.0,711.0,732.0,729.0,765.0,688.0,801.0,808.0,
Algeria,,,,,,,,,,,,233.0,263.0,307.0,321.0,332.0,369.0,401.0,480.0,590.0,583.0,615.0,776.0,813.0,781.0,791.0,868.0,833.0,855.0,825.0,861.0,889.0,889.0,872.0,824.0,843.0,802.0,809.0,825.0,868.0,870.0,860.0,908.0,953.0,952.0,978.0,1030.0,1080.0,1070.0,1150.0,1110.0,1140.0,1230.0,1250.0,1330.0,
Angola,,,,,,,,,,,,637.0,663.0,636.0,624.0,587.0,559.0,533.0,567.0,556.0,547.0,532.0,506.0,502.0,489.0,501.0,489.0,484.0,486.0,480.0,497.0,492.0,479.0,480.0,471.0,456.0,454.0,449.0,434.0,441.0,439.0,443.0,448.0,468.0,465.0,434.0,459.0,472.0,492.0,515.0,521.0,522.0,552.0,534.0,545.0,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580.0,,,,,,,,,,,,,,1680.0,1680.0,1730.0,1740.0,,,,,,,,
Argentina,,,,,,,,,,,,1390.0,1390.0,1420.0,1430.0,1390.0,1420.0,1430.0,1440.0,1500.0,1500.0,1440.0,1430.0,1430.0,1460.0,1370.0,1430.0,1480.0,1510.0,1450.0,1410.0,1440.0,1490.0,1470.0,1550.0,1550.0,1590.0,1620.0,1660.0,1670.0,1670.0,1570.0,1510.0,1600.0,1730.0,1720.0,1850.0,1860.0,1940.0,1870.0,1930.0,1950.0,1940.0,1970.0,2030.0,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2180.0,2320.0,1200.0,652.0,420.0,511.0,562.0,594.0,610.0,594.0,656.0,657.0,618.0,656.0,698.0,843.0,865.0,973.0,1030.0,904.0,863.0,944.0,1030.0,1000.0,1020.0,
Australia,3060.0,3120.0,3170.0,3280.0,3350.0,3460.0,3550.0,3690.0,3760.0,3790.0,4060.0,3990.0,4040.0,4260.0,4290.0,4350.0,4410.0,4670.0,4630.0,4680.0,4740.0,4690.0,4820.0,4560.0,4650.0,4600.0,4620.0,4770.0,4700.0,5000.0,5060.0,4930.0,4960.0,5150.0,5090.0,5130.0,5390.0,5470.0,5550.0,5610.0,5640.0,5450.0,5570.0,5570.0,5600.0,5560.0,5710.0,5870.0,5960.0,5860.0,5790.0,5750.0,5580.0,5470.0,5330.0,5480.0
Austria,1550.0,1550.0,1680.0,1820.0,1860.0,1850.0,1900.0,1920.0,2050.0,2180.0,2420.0,2510.0,2630.0,2830.0,2730.0,2650.0,2870.0,2800.0,2890.0,3140.0,3070.0,2900.0,2830.0,2840.0,2950.0,3050.0,3060.0,3170.0,3200.0,3140.0,3240.0,3420.0,3250.0,3260.0,3230.0,3370.0,3580.0,3550.0,3610.0,3590.0,3570.0,3760.0,3770.0,3970.0,4010.0,4090.0,4080.0,4020.0,4030.0,3800.0,4050.0,3920.0,3890.0,3920.0,3760.0,3800.0
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3170.0,3090.0,2460.0,2180.0,1950.0,1810.0,1510.0,1440.0,1490.0,1370.0,1400.0,1410.0,1410.0,1480.0,1540.0,1600.0,1560.0,1410.0,1520.0,1330.0,1280.0,1370.0,1470.0,1470.0,1500.0,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2520.0,,,,,,,,,,,,,,2080.0,2140.0,2130.0,2100.0,,,,,,,,
